0,1.2175e-12,0.0080113,-0.008516,-0.036089,-1.2175e-12,0,-1.2175e-12,0.0080113,-0.008516,-0.036089,1.2175e-12,-1.0939,1.0421,-1.0939,1.0421,0,0,0,0
0,1.2256e-12,0.0080644,-0.0085725,-0.036328,-1.2256e-12,0,-1.2256e-12,0.0080644,-0.0085725,-0.036328,1.2256e-12,-1.1206,1.0787,-1.1206,1.0787,0,0,0,0
0,1.2315e-12,0.0081031,-0.0086136,-0.036502,-1.2315e-12,0,-1.2315e-12,0.0081031,-0.0086136,-0.036502,1.2315e-12,-1.1465,1.115,-1.1465,1.115,0,0,0,0
0,1.2352e-12,0.0081277,-0.0086398,-0.036614,-1.2352e-12,0,-1.2352e-12,0.0081277,-0.0086398,-0.036614,1.2352e-12,-1.1715,1.1512,-1.1715,1.1512,0,0,0,0
0,1.2369e-12,0.0081386,-0.0086514,-0.036663,-1.2369e-12,0,-1.2369e-12,0.0081386,-0.0086514,-0.036663,1.2369e-12,-1.1956,1.1872,-1.1956,1.1872,0,0,0,0
0,1.2365e-12,0.0081361,-0.0086487,-0.036651,-1.2365e-12,0,-1.2365e-12,0.0081361,-0.0086487,-0.036651,1.2365e-12,-1.2188,1.223,-1.2188,1.223,0,0,0,0
0,1.2341e-12,0.0081204,-0.008632,-0.03658,-1.2341e-12,0,-1.2341e-12,0.0081204,-0.008632,-0.03658,1.2341e-12,-1.2412,1.2586,-1.2412,1.2586,0,0,0,0
0,1.2298e-12,0.0080919,-0.0086017,-0.036452,-1.2298e-12,0,-1.2298e-12,0.0080919,-0.0086017,-0.036452,1.2298e-12,-1.2626,1.294,-1.2626,1.294,0,0,0,0
0,1.2235e-12,0.0080509,-0.0085581,-0.036267,-1.2235e-12,0,-1.2235e-12,0.0080509,-0.0085581,-0.036267,1.2235e-12,-1.2832,1.3292,-1.2832,1.3292,0,0,0,0
0,1.2155e-12,0.0079977,-0.0085016,-0.036027,-1.2155e-12,0,-1.2155e-12,0.0079977,-0.0085016,-0.036027,1.2155e-12,-1.303,1.3642,-1.303,1.3642,0,0,0,0
0,1.2056e-12,0.0079326,-0.0084323,-0.035734,-1.2056e-12,0,-1.2056e-12,0.0079326,-0.0084323,-0.035734,1.2056e-12,-1.3219,1.3989,-1.3219,1.3989,0,0,0,0
